,District,Panels Installed,Installed Capacity (MW),Local Production (MW),Capacity Imported (MW),Demand (MW),Local Production / Demand
0,Abim,-0.0,0.0,0.0,0.2,4.009,0.0
1,Adjumani,-0.0,0.0,0.0,0.263,5.263,0.0
2,Agago,-0.0,0.0,0.0,0.288,5.757,0.0
3,Amuru,-0.0,0.0,0.0,0.255,5.099,0.0
4,Arua,-0.0,0.0,0.0,0.185,3.693,0.0
5,Gulu,-0.0,0.0,0.0,0.139,2.785,0.0
6,Koboko,-0.0,0.0,0.0,0.315,6.305,0.0
7,Kole,-0.0,0.0,0.0,0.339,6.772,0.0
8,Kotido,-0.0,0.0,0.0,0.241,4.818,0.0
9,Lira,-0.0,0.0,0.0,0.278,5.564,0.0
10,Maracha,-0.0,0.0,0.0,0.241,4.814,0.0
11,Moroto,-0.0,0.0,0.0,0.138,2.77,0.0
12,Moyo,-0.0,0.0,0.0,0.128,2.553,0.0
13,Napak,-0.0,0.0,0.0,0.182,3.645,0.0
14,Nebbi,-0.0,0.0,0.0,0.336,6.717,0.0
15,Nwoya,-0.0,0.0,0.0,0.345,6.893,0.0
16,Omoro,-0.0,0.0,0.0,0.237,4.746,0.0
17,Oyam,-0.0,0.0,0.0,0.539,10.781,0.0
18,Pader,-0.0,0.0,0.0,0.227,4.533,0.0
19,Pakwach,-0.0,0.0,0.0,0.24,4.803,0.0
20,Obongi,-0.0,0.0,0.0,0.057,1.147,0.0
21,Madi Okollo,-0.0,0.0,0.0,0.194,3.877,0.0
22,Arua City,28173.0,8.452,1.169,0.0,8.542,0.137
23,Gulu City,-0.0,0.0,0.0,0.247,4.945,0.0
24,Lira City,-0.0,0.0,0.0,0.288,5.752,0.0
25,Amuria,-0.0,0.0,0.0,0.272,5.45,0.0
26,Bugiri,-0.0,0.0,0.0,0.588,11.764,0.0
27,Bugweri,-0.0,0.0,0.0,0.225,4.509,0.0
28,Busia,430332.0,129.1,18.271,0.0,9.139,1.999
29,Iganga,-0.0,0.0,0.0,0.479,9.579,0.0
30,Jinja,-0.0,0.0,0.0,0.28,5.59,0.0
31,Katakwi,-0.0,0.0,0.0,0.23,4.599,0.0
32,Luuka,-0.0,0.0,0.0,0.309,6.176,0.0
33,Mayuge,-0.0,0.0,0.0,0.675,13.492,0.0
34,Soroti,-0.0,0.0,0.0,0.355,7.101,0.0
35,Tororo,308865.0,92.659,12.95,0.0,14.029,0.923
36,Jinja City,-0.0,0.0,0.0,0.308,6.16,0.0
37,Buikwe,-0.0,0.0,0.0,0.548,10.961,0.0
38,Bukomansimbi,-0.0,0.0,0.0,0.174,3.474,0.0
39,Butambala,-0.0,0.0,0.0,0.122,2.432,0.0
40,Kalangala,-0.0,0.0,0.0,0.082,1.634,0.0
41,Kalungu,-0.0,0.0,0.0,0.207,4.149,0.0
42,Kampala Capital City,-0.0,0.0,0.0,1.937,38.741,0.0
43,Kayunga,-0.0,0.0,0.0,0.468,9.367,0.0
44,Kyankwanzi,-0.0,0.0,0.0,0.355,7.103,0.0
45,Kyotera,-0.0,0.0,0.0,0.297,5.945,0.0
46,Luwero,-0.0,0.0,0.0,0.612,12.24,0.0
47,Lwengo,-0.0,0.0,0.0,0.326,6.518,0.0
48,Lyantonde,-0.0,0.0,0.0,0.131,2.623,0.0
49,Masaka,-0.0,0.0,0.0,0.14,2.798,0.0
50,Mpigi,-0.0,0.0,0.0,0.335,6.696,0.0
51,Mukono,-0.0,0.0,0.0,0.831,16.613,0.0
52,Nakaseke,-0.0,0.0,0.0,0.28,5.59,0.0
53,Nakasongola,-0.0,0.0,0.0,0.256,5.119,0.0
54,Rakai,-0.0,0.0,0.0,0.372,7.432,0.0
55,Ssembabule,-0.0,0.0,0.0,0.35,7.003,0.0
56,Wakiso,-0.0,0.0,0.0,3.859,77.181,0.0
57,Masaka City,-0.0,0.0,0.0,0.26,5.202,0.0
58,Bundibugyo,-0.0,0.0,0.0,0.313,6.25,0.0
59,Bushenyi,-0.0,0.0,0.0,0.279,5.575,0.0
60,Ibanda,-0.0,0.0,0.0,0.319,6.38,0.0
61,Isingiro,-0.0,0.0,0.0,0.722,14.433,0.0
62,Kabale,-0.0,0.0,0.0,0.282,5.634,0.0
63,Kabarole,-0.0,0.0,0.0,0.258,5.163,0.0
64,Kagadi,-0.0,0.0,0.0,0.521,10.411,0.0
65,Kakumiro,-0.0,0.0,0.0,0.66,13.2,0.0
66,Kasese,-0.0,0.0,0.0,0.925,18.507,0.0
67,Kibaale,-0.0,0.0,0.0,0.257,5.149,0.0
68,Kikuube,-0.0,0.0,0.0,0.454,9.088,0.0
69,Kiruhura,-0.0,0.0,0.0,0.225,4.502,0.0
70,Kiryandongo,-0.0,0.0,0.0,0.372,7.439,0.0
71,Kyenjojo,-0.0,0.0,0.0,0.641,12.816,0.0
72,Masindi,-0.0,0.0,0.0,0.402,8.046,0.0
73,Mbarara,-0.0,0.0,0.0,0.197,3.932,0.0
74,Ntungamo,-0.0,0.0,0.0,0.624,12.483,0.0
75,Rubirizi,-0.0,0.0,0.0,0.166,3.323,0.0
76,Rukiga,-0.0,0.0,0.0,0.118,2.351,0.0
77,Sheema,-0.0,0.0,0.0,0.248,4.963,0.0
78,Kazo,-0.0,0.0,0.0,0.264,5.272,0.0
79,Rwampara,-0.0,0.0,0.0,0.168,3.358,0.0
80,Fort Portal City,-0.0,0.0,0.0,0.134,2.678,0.0
81,Hoima City,-0.0,0.0,0.0,0.148,2.967,0.0
82,Mbarara City,-0.0,0.0,0.0,0.257,5.147,0.0
