ID,Name,2021_Total_Population,Area_in_Square_Kilometers,MEANSOLAR,X,Y,PercentagePark,Suppliers,GridAll
1010,Abim,187335,2752.06,4.655411072,33.753093,2.70305409,9,0,1
1011,Adjumani,245954,3113.81,4.565439897,31.76969399,3.22357051,,0,2
1012,Agago,269012,3513.69,4.646768826,33.34607889,2.91019875,0,0,2
1016,Amuru,238268,3589.86,4.553185964,32.11369095,3.16474799,,0,1
1018,Arua,172578,1207.09,4.559463341,30.95501154,2.91967683,,1,2
1020,Gulu,130151,1817.15,4.633876092,32.39820343,2.9809252,,0,1
1023,Koboko,294632,762.37,4.515808994,31.00808534,3.52549772,15,0,1
1024,Kole,316461,1071.5,4.687326333,32.75080675,2.30422572,,0,1
1025,Kotido,225150,3630.75,4.672726605,33.98810694,3.02415482,27,0,1
1028,Lira,259994,1287.35,4.705135757,32.96345914,2.30360107,,0,1
1029,Maracha,224945,438.65,4.583720968,30.92704515,3.23700594,,0,1
1030,Moroto,129433,3540.61,4.80680819,34.63150045,2.64892122,39,0,1
1031,Moyo,119288,1044.86,4.551871508,31.76554148,3.64369747,17,0,1
1034,Napak,170323,4477.23,4.671345148,34.26381129,2.39232526,60,0,1
1035,Nebbi,313899,993.76,4.608936188,31.17745841,2.43033504,,0,2
1036,Nwoya,322097,4736.78,4.521685906,31.81352892,2.58083198,37,0,3
1037,Omoro,221769,1555.92,4.636622723,32.47748229,2.69664888,,0,1
1039,Oyam,503796,2252.69,4.64472463,32.48439927,2.37225941,0,0,4
1040,Pader,211828,3301.62,4.653382357,32.86751375,2.9294376,,0,1
1041,Pakwach,224433,1038.54,4.594285742,31.37025878,2.4931876,0,0,1
1044,Obongi,53597,847.06,4.577308538,31.55686643,3.39204513,22,0,1
1045,Madi Okollo,181186,2019,4.549140269,31.23121108,2.85317714,7,0,1
1048,Arua City,399163,10.19,4.609230848,30.91656831,3.01800652,,0,1
1049,Gulu City,231094,54.45,4.610483869,32.29187605,2.77293114,,0,2
1050,Lira City,268807,34.94,4.698095095,32.89987753,2.2477199,,0,1
2010,Amuria,254665,1382.49,4.763844232,33.62464877,2.04901476,,0,2
2013,Bugiri,549707,1045.32,4.635694313,33.77486978,0.53305444,,0,1
2014,Bugweri,210701,379.08,4.580222765,33.60559731,0.6267791,,0,1
2018,Busia,427038,733.52,4.717558339,34.00656363,0.41903834,,0,1
2022,Iganga,447636,638.57,4.554444511,33.47894768,0.72725939,,0,1
2023,Jinja,261224,654.79,4.41763631,33.21013298,0.57950487,0,0,4
2029,Katakwi,214902,2429.39,4.763624907,34.03812615,1.92224436,6,0,2
2033,Luuka,288586,649.67,4.510775295,33.33850781,0.80396247,,0,1
2034,Mayuge,630462,1102.23,4.591176953,33.49920083,0.38735637,,1,2
2043,Soroti,331833,1386.13,4.801540411,33.49670097,1.82241674,,0,1
2044,Tororo,655570,1191.58,4.658606278,34.08224261,0.72500815,,1,2
2047,Jinja City,287869,33.29,4.456756682,33.21334936,0.44218809,70,0,1
3010,Buikwe,512199,1231.38,4.369902992,33.03072141,0.32235408,2,0,2
3011,Bukomansimbi,162330,599.84,4.117617048,31.62827273,-0.129679,,0,2
3012,Butambala,113651,405.6,4.178283202,32.18264145,0.17353919,,0,1
3015,Kalangala,76348,483.72,4.302738583,32.12355852,-0.27584701,,0,1
3016,Kalungu,193894,804.28,4.180074338,31.79678408,-0.09957492,,0,1
